Common name,Body mass (g),Metabolic rate (W),Maximum longevity (yrs),R_raw,R_mass_specific,R_allometric_scaled,Predicted_Lifespan,Residual,Relative_Error
American woodcock,156.7,1.066,20.9,1.066,6.802807913209957,0.02406885648335146,13.611394069836043,7.288605930163955,0.34873712584516536
Eurasian woodcock,430.0,2.16,15.5,2.16,5.023255813953488,0.022874542115728785,15.05702467609143,0.44297532390856986,0.028579053155391602
White-tipped dove,131.0,0.8884,8.6,0.8884,6.781679389312977,0.022943257434095813,13.625806114587471,-5.025806114587471,-0.5843960598357525
Wonga pigeon,445.0,1.695,16.3,1.695,3.808988764044944,0.01749442586498791,16.446653461763,-0.1466534617629982,-0.008997144893435472
European turtle-dove,154.0,1.138,13.2,1.138,7.389610389610389,0.02603165149631328,13.231252528584085,-0.031252528584085226,-0.0023676158018246384
Mourning dove,123.0,0.736,31.3,0.736,5.983739837398374,0.019927323938916428,14.212965717152125,17.087034282847874,0.5459116384296445
Common kingfisher,34.3,0.378,21.0,0.378,11.020408163265307,0.02666988910094974,11.482484230074059,9.517515769925941,0.45321503666314006
"Common cuckoo, or Eurasian cuckoo",111.6,0.838,12.9,0.838,7.508960573476703,0.02440595873710422,13.158353935111416,-0.25835393511141547,-0.020027436830342284
Greater roadrunner,284.7,1.4661,9.0,1.4661,5.149631190727081,0.021153049875156656,14.935513594537602,-5.935513594537602,-0.6595015105041779
Eurasian hobby,208.0,1.3014,14.9,1.3014,6.256730769230769,0.023760922685016218,14.00210272308761,0.8978972769123903,0.060261562208885254
Gambel's quail,126.1,0.755,7.4,0.755,5.987311657414751,0.02006368203969112,14.210133442240048,-6.810133442240048,-0.9202883030054118
Ruffed grouse,644.0,2.3894,11.0,2.3894,3.710248447204969,0.018690652317379066,16.581985484510874,-5.581985484510874,-0.5074532258646248
Common quail,97.0,0.891,14.6,0.891,9.185567010309278,0.0288269638402996,12.26126373985494,2.33873626014506,0.16018741507842876
Blue grouse,1131.0,4.957,14.0,4.957,4.3828470380194515,0.02541686400533208,15.733606180580411,-1.733606180580411,-0.1238290128986008
