filename,group,slice,pace_hz,plv,lag_ms,sigmamu,vm_snr,ca_snr,hysteresis_width_mean,hysteresis_width_std,hysteresis_n_cycles,quality_flag,roi,original_plv,original_lag_ms,original_assignment,lag_ms_reprocessed_bad,condition,frequency,base,plv_beat_mean,plv_beat_sd,plv_beat_cv,lag_beat_mean,lag_beat_sd,lag_beat_cv,ec_coupling_gain,ec_gain_r,ec_gain_n_beats,ca_ttp_ms,ca_t50_ms,ca_t90_ms,ca_tau_ms,vm_upstroke,vm_apd50_ms,vm_apd90_ms
.\11931666\slice8 8Hz inte3.0 15V.tif,Sham,8,8.0,0.6636178306081508,86.0,0.8520895708629069,9.001484512124238,16.528733795931668,0.2888707458879638,0.186333774735804,25,USABLE,"(np.int64(33), np.int64(97), np.int64(22), np.int64(86))",0.6861732449884669,86.0,standard,-84.0,Sham,8.0,slice8_8Hz_inte3_0_15V,0.9054645692544964,0.15638365174798602,0.17271095640632594,3.1724137931034484,11.077870364951023,3.491937397647605,0.9757420115401516,0.954641197842968,29,40.0,8.0,8.0,1468588436.1029372,8216.4306640625,108.0,152.0
.\11931666\slice9 16Hz inte3.0 15V.tif,Sham,9,16.0,0.4943023559702897,86.0,0.3252045157097703,7.032457320476575,15.949649680196226,0.2379878290748721,0.1094033529310209,29,USABLE,"(np.int64(76), np.int64(140), np.int64(8), np.int64(72))",0.3927107101331759,86.0,standard,0.0,Sham,16.0,slice9_16Hz_inte3_0_15V,0.780736109063369,0.28709944086039024,0.36772916934099126,0.37209302325581395,4.766066841117294,12.808804635502728,0.9282386740429532,0.9324401962789038,43,40.0,6.0,8.0,130728700.08860672,6897.705078125,108.0,132.0
.\11931666\slice9 2Hz inte3.0 15V.tif,Sham,9,2.0,0.3911634680204683,126.0,2.2736290747120704,12.276789312878144,12.38467947761463,0.2705330897081292,0.2312084177616226,9,EXTREME_LAG,"(np.int64(89), 150, np.int64(19), np.int64(83))",0.5925281902256517,126.0,standard,-1076.0,Sham,2.0,slice9_2Hz_inte3_0_15V,0.6109341206328225,0.29020430622524995,0.4750173487194467,-65.5,98.67551440381318,1.5064964031116517,0.9989660406042792,0.9999260740098317,8,222.0,22.0,124.0,14.96073775839703,10113.121157786964,510.0,532.0
.\11931666\slice9 4Hz inte3.0 15V.tif,Sham,9,4.0,0.6555753456761573,170.0,0.4518906203378308,11.089784388334134,16.41010546609977,0.2975790019737837,0.1785536007207621,10,USABLE,"(np.int64(28), np.int64(92), np.int64(16), np.int64(80))",0.4548978658459834,170.0,standard,-168.0,Sham,4.0,slice9_4Hz_inte3_0_15V,0.8748076457374445,0.2055771560844637,0.23499698143489184,-8.285714285714286,33.33611709987687,4.023324477571347,0.9953479304726005,0.9784207522862055,14,262.0,4.0,10.0,188.40435968504391,11667.205810546875,296.0,346.0
.\11931666\slice9 8Hz inte3.0 15V.tif,Sham,9,8.0,0.5406069586862002,86.0,0.330318412471538,5.982802979116423,15.969019633314437,0.2977139624246723,0.0931968593980595,33,LOW_SNR,"(np.int64(76), np.int64(140), np.int64(8), np.int64(72))",0.4398167273557203,86.0,standard,0.0,Sham,8.0,slice9_8Hz_inte3_0_15V,0.7739054740248085,0.28389175899625485,0.36683001803803544,2.2564102564102564,15.941864694336216,7.06514458044446,0.9467053715045476,0.9726480247576293,39,48.0,8.0,8.0,10501.84457446953,7276.7333984375,108.0,148.0
.\11931666\slice1 16Hz inte3.0 15V.tif,TAC,1,16.0,0.5374720026496058,2930.0,1.7053865153540453,6.309040721907423,16.006397210961914,0.1658208130614714,0.1086230928234638,15,EXTREME_LAG,"(np.int64(58), np.int64(122), np.int64(23), np.int64(87))",0.5376632839382317,2930.0,standard,-2928.0,Tac,16.0,slice1_16Hz_inte3_0_15V,0.8061180391850813,0.14661005037519645,0.181871690309036,1.4814814814814814,1.9684115104936455,1.3286777695832108,0.8919843125930496,0.925996717291114,27,40.0,8.0,20.0,4226.503489973645,4577.5146484375,44.0,72.0
.\11931666\slice1 2Hz inte3.0 15V.tif,TAC,1,2.0,0.444425941832821,110.0,0.6759757247324132,3.989718757755241,16.222681481393554,0.1716781333144795,0.0967423308465975,3,LOW_SNR,"(np.int64(58), np.int64(122), np.int64(22), np.int64(86))",0.4431323178235017,110.0,standard,-108.0,Tac,2.0,slice1_2Hz_inte3_0_15V,0.5671979233123091,0.2702435745321354,0.47645374467165413,-17.666666666666668,60.168450405859915,3.4057613437279195,1.0447297509565197,0.9736659715365436,12,226.0,8.0,32.0,2.616519618389753,4804.6875,264.0,414.0
.\11931666\slice1 4Hz inte3.0 15V.tif,TAC,1,4.0,0.6897591314686644,248.0,0.5866734303858295,16.346296001452675,7.571319152853021,0.2058660044663472,0.1497261110388127,8,USABLE,"(np.int64(58), np.int64(122), np.int64(23), np.int64(87))",0.6890662621682142,248.0,swapped,0.0,Tac,4.0,slice1_4Hz_inte3_0_15V,0.7891587315589966,0.25205678744342025,0.319399351947203,-7.764705882352941,28.44189122527875,3.662970839619233,0.9427294270380989,0.9806138311381891,17,132.0,8.0,32.0,90.9649315093635,5680.35888671875,164.0,288.0
.\11931666\slice1 8Hz inte3.0 15V.tif,TAC,1,8.0,0.6609664385305747,86.0,0.9854684098261924,3.845473868928004,15.909279864375783,0.2004725689722123,0.1200047308960001,23,LOW_SNR,"(np.int64(58), np.int64(122), np.int64(21), np.int64(85))",0.6613306431484074,86.0,standard,-84.0,Tac,8.0,slice1_8Hz_inte3_0_15V,0.6672565815739054,0.3149861448386065,0.47206150308120803,4.5,14.98083882547615,3.3290752945502557,1.025325603287137,0.9802756664983371,48,50.0,4.0,8.0,269589870.6518762,3918.426513671875,60.0,96.0
.\11931666\slice10 16Hz inte3.0 15V.tif,TAC,10,16.0,0.5448343110872672,126.0,0.579882101879181,7.790408716670873,16.33095607266417,0.1888237946350301,0.088310115376484,13,USABLE,"(np.int64(39), np.int64(103), np.int64(6), np.int64(70))",0.5424774058694803,126.0,standard,-124.0,Tac,16.0,slice10_16Hz_inte3_0_15V,0.8543344652680342,0.2156706162308742,0.25244283708396437,0.0975609756097561,7.924029524329085,81.22130262437312,1.021669694525005,0.982953741296404,41,36.0,8.0,10.0,502501473.98827267,7956.35986328125,84.0,124.0
