filename,group,slice,pace_hz,plv,lag_ms,sigmamu,vm_snr,ca_snr,hysteresis_width_mean,hysteresis_width_std,hysteresis_n_cycles,quality_flag,roi,original_plv,original_lag_ms,original_assignment,lag_ms_reprocessed_bad,condition,frequency,base,plv_beat_mean,plv_beat_sd,plv_beat_cv,lag_beat_mean,lag_beat_sd,lag_beat_cv,ec_coupling_gain,ec_gain_r,ec_gain_n_beats,ca_ttp_ms,ca_t50_ms,ca_t90_ms,ca_tau_ms,vm_upstroke,vm_apd50_ms,vm_apd90_ms,plv_band_2hz,plv_band_4hz,plv_band_8hz,plv_band_16hz,orientation_frac_ccw,orientation_nbeats,ai_ca,ai_ca_n,ai_vm,ai_vm_n
.\11931666\slice11 4Hz inte3.0 15V.tif,Sham,11,4.0,0.5803790476168119,54.0,0.4576911303197754,9.289459872672008,16.475504094432196,0.4868528141812305,0.2524910908205949,6,USABLE,"(np.int64(23), np.int64(87), np.int64(8), np.int64(72))",0.5302246257354829,54.0,standard,0.0,Sham,4.0,slice11_4Hz_inte3_0_15V,0.8255014893380828,0.23906575938065,0.2896006396939898,0.9230769230769232,1.7541160386140584,1.9002923751652296,1.0267168988321749,0.9908227524746828,13,168.0,16.0,16.0,13.219974035124958,7676.025390625,252.0,332.0,0.6585028503892753,0.4982435380567619,0.6428622618817651,0.7683184909427958,1.0,13.0,0.29968999241533384,12.0,0.2868878946616336,12.0
.\11931666\slice11 8Hz inte3.0 15V.tif,Sham,11,8.0,0.4039664953463944,119.0,0.3658834719370643,5.982789447412031,15.977048326574192,0.342140341682526,0.1073988667362422,27,LOW_SNR,"(np.int64(23), np.int64(87), np.int64(10), np.int64(74))",0.7423474112125256,119.0,standard,-164.0,Sham,8.0,slice11_8Hz_inte3_0_15V,0.7987233676164213,0.2786842354769757,0.3489120849295233,2.571428571428572,16.165520152839086,6.286591170548533,0.9056650016086928,0.8463603557194289,42,16.0,8.0,12.0,1027121343.2222222,6326.171875,92.0,142.0,0.5784948428626859,0.3780421438179152,0.583279402829841,0.46966571903828563,1.0,42.0,0.10331116589346014,41.0,0.1005644798556161,41.0
.\11931666\slice12 16Hz inte3.0 15V.tif,Sham,12,16.0,0.4551762215468801,86.0,0.5545179505584696,7.158837332924316,16.253205178497062,0.1372226839813139,0.176896463298742,6,USABLE,"(np.int64(18), np.int64(82), np.int64(4), np.int64(68))",0.6772871099017369,86.0,standard,-164.0,Sham,16.0,slice12_16Hz_inte3_0_15V,0.8211317730085921,0.265357632146934,0.3231608383325308,2.4347826086956523,6.978227007909175,2.866057521105554,1.0541686614472718,0.895004983269207,46,40.0,8.0,8.0,132833209.3432644,7478.82080078125,104.0,130.0,0.7540869102793457,0.48750651029869474,0.6111235384338564,0.7465768812351955,1.0,46.0,0.14256143230562976,45.0,0.11258164567998263,45.0
.\11931666\slice12 4Hz inte3.0 15V.tif,Sham,12,4.0,0.6161885136978735,244.0,0.4687331123382195,16.348007853324468,7.991927053285233,0.3312246672802018,0.1363995993451517,16,USABLE,"(np.int64(57), np.int64(121), 0, np.int64(63))",0.6684847380806923,244.0,swapped,0.0,Sham,4.0,slice12_4Hz_inte3_0_15V,0.787572086113932,0.2892591684380035,0.3672796097501081,10.571428571428571,32.707830833031366,3.0939839977191834,0.9552437058645415,0.9782096977114786,14,18.0,12.0,28.0,8.509015928917824,10322.885664682644,314.0,358.0,0.4293602940783107,0.5628186669464484,0.24711441539409776,0.91330819652243,1.0,14.0,0.2824252542127365,13.0,0.311925703223597,13.0
.\11931666\slice12 8Hz inte3.0 15V.tif,Sham,12,8.0,0.6159192909394032,82.0,0.5585392674660614,6.30844003250459,16.256524006580037,0.363286537948106,0.1309039481137114,29,USABLE,"(np.int64(20), np.int64(84), np.int64(5), np.int64(69))",0.5640243047216795,82.0,standard,0.0,Sham,8.0,slice12_8Hz_inte3_0_15V,0.8087890822388296,0.310642213665621,0.3840830946997014,-1.641025641025641,13.87820551779163,8.457031487404274,0.8670802915533331,0.9052748682506871,39,48.0,8.0,8.0,3248884900.6560373,8616.19438559319,116.0,152.0,0.23015879499645234,0.695263203070853,0.34809092889797216,0.7053584250951498,1.0,39.0,0.06794058767754341,38.0,0.06951839183096381,38.0
.\11931666\slice13 16Hz inte3.0 15V.tif,Sham,13,16.0,0.7084008616669188,66.0,1.4110968790381742,10.325766392590772,16.71226222919219,0.247478308087344,0.2018764310239173,23,USABLE,"(np.int64(63), np.int64(127), np.int64(11), np.int64(75))",0.3457972746524321,66.0,standard,0.0,Sham,16.0,slice13_16Hz_inte3_0_15V,0.8376699584715895,0.2607129735098293,0.3112359120357205,1.0476190476190477,1.7800024794773217,1.699093275864716,0.9794080125158654,0.9623699006539912,42,60.0,8.0,12.0,124796336.68296827,8919.647216796875,110.0,140.0,0.6449268678460551,0.6859136142944143,0.5953352715353482,0.8230952989349902,1.0,42.0,0.1426077152998681,41.0,0.11610240488323846,41.0
.\11931666\slice13 2Hz inte3.0 15V.tif,Sham,13,2.0,0.5569212547630025,102.0,0.4107701738147717,7.811072481962801,16.306463281534857,0.2756825300381869,0.1626636522353624,11,USABLE,"(np.int64(63), np.int64(127), np.int64(10), np.int64(74))",0.3993259710659618,102.0,standard,0.0,Sham,2.0,slice13_2Hz_inte3_0_15V,0.7486851020716871,0.3453202921007428,0.4612356932777302,-3.6666666666666665,16.57672702278344,4.520925551668212,0.931410145198242,0.9115287412355536,12,352.0,4.0,16.0,11.726507356249863,12074.005126953123,364.0,430.0,0.5909159055749819,0.44208899014113695,0.40834881763421094,0.9173174124194591,1.0,12.0,0.13384205855241602,11.0,0.12524409939312275,11.0
.\11931666\slice13 4Hz inte3.0 15V.tif,Sham,13,4.0,0.5176973169863218,66.0,0.3072852732090189,8.418982273462758,16.125131888381084,0.2923763452699272,0.1583753928651182,21,EXTREME_LAG,"(np.int64(9), np.int64(73), np.int64(10), np.int64(74))",0.2960859047281297,66.0,standard,-2684.0,Sham,4.0,slice13_4Hz_inte3_0_15V,0.7672801424148712,0.2942066728284718,0.3834410100885853,1.1764705882352942,1.8786728732554483,1.5968719422671311,1.0098043528687186,0.9958074581213616,17,176.0,4.0,22.0,198.32113169214188,11310.546875,164.0,188.0,0.45440084432806255,0.42807607125205327,0.46780137061788246,0.9186812386062218,1.0,17.0,0.2623738948010138,16.0,0.25817686997582984,16.0
.\11931666\slice13 8Hz inte3.0 15V.tif,Sham,13,8.0,0.6559333517811966,2078.0,0.6714619945238098,7.302584055388915,16.473327314354897,0.3436950590148977,0.1101876548756475,37,USABLE,"(np.int64(61), np.int64(125), np.int64(9), np.int64(73))",0.6307727345418794,2078.0,standard,0.0,Sham,8.0,slice13_8Hz_inte3_0_15V,0.8464835930757382,0.2573728442537623,0.3040494185109789,-2.1621621621621623,14.129389216793472,6.53484251276698,0.7995484024589065,0.8355820059417126,37,24.0,8.0,8.0,2310798141.3753686,10615.72265625,124.0,152.0,0.7922505003264898,0.7557338636489815,0.37876622240567126,0.6435098742496982,1.0,37.0,0.07291611487613364,36.0,0.07671089183086467,36.0
.\11931666\slice14 16Hz inte3.0 15V.tif,Sham,14,16.0,0.4998370303146197,42.0,0.358971192533024,8.049208809201623,16.16132041564145,0.2696025294450395,0.1755183462367858,19,EXTREME_LAG,"(np.int64(61), np.int64(125), np.int64(2), np.int64(66))",0.4311780625354849,42.0,standard,-1564.0,Sham,16.0,slice14_16Hz_inte3_0_15V,0.784368332649021,0.2797028388039749,0.3565962917693832,1.7435897435897436,7.9363187433268765,4.551712220437473,0.964391088784718,0.9671465807666724,39,40.0,8.0,10.0,160.11095108132554,9795.47119140625,124.0,148.0,0.3399872913159218,0.5695823563925219,0.6978657910367941,0.8689884688996,1.0,39.0,0.14307812078196902,38.0,0.14733032427548573,38.0
.\11931666\slice14 2Hz inte3.0 15V.tif,Sham,14,2.0,0.5416369577787491,54.0,0.4307822098101105,8.230213228749596,16.360941868013086,0.2842608593249509,0.2068801993150885,8,USABLE,"(np.int64(59), np.int64(123), np.int64(8), np.int64(72))",0.5904948662282081,54.0,standard,0.0,Sham,2.0,slice14_2Hz_inte3_0_15V,0.9011976708651208,0.1877156899868914,0.2082958001951895,1.5,2.070196678027062,1.3801311186847085,0.9096561622241064,0.9877242107502732,8,352.0,16.0,38.0,6.920621521398885,11002.62451171875,382.0,440.0,0.6049654622691848,0.3593264239659392,0.5679289780400844,0.9232192989929399,1.0,8.0,0.16842557494880103,7.0,0.1837561870433089,7.0
.\11931666\slice14 8Hz inte3.0 15V.tif,Sham,14,8.0,0.8431825926680264,86.0,4.044560904128737,15.249995751197355,17.870009567755464,0.0556603386780245,0.0268338829019993,3,USABLE,"(np.int64(52), np.int64(116), 0, np.int64(64))",0.5379743696967954,86.0,standard,4.0,Sham,8.0,slice14_8Hz_inte3_0_15V,0.9181306048151038,0.1422673692513548,0.1549533024008115,4.857142857142857,15.936687923719346,3.2810828078245717,1.004698265699563,0.9991177067499823,14,84.0,8.0,10.0,574409877.3991416,11210.968017578123,122.0,164.0,0.3434422384148267,0.4435966720601054,0.39068696394464164,0.6173397685903782,1.0,14.0,0.5398488988556344,13.0,0.5383980449254436,13.0
.\11936610\slice15 16Hz inte3.0 15V.tif,Sham,15,16.0,0.6961341311722262,42.0,0.7043335924458981,10.228474532095138,16.463133878881212,0.2165011515237806,0.1507540116429231,63,USABLE,"(0, np.int64(64), np.int64(37), np.int64(101))",0.7102415468273041,42.0,standard,-40.0,Sham,16.0,slice15_16Hz_inte3_0_15V,0.6948154774994055,0.23470292496613,0.3377917340166488,1.0666666666666669,7.995400976912239,7.495688415855224,0.9783274500156371,0.9817438653683538,30,60.0,4.0,8.0,164801546.06297705,6473.0224609375,94.0,122.0,0.6663319576714946,0.3558979979692086,0.7277230694910587,0.4490824627155335,0.9666666666666667,30.0,0.3839239435138564,29.0,0.3729678417377702,29.0
.\11936610\slice15 2Hz inte3.0 15V.tif,Sham,15,2.0,0.4427895144188477,118.0,0.7384984830689489,6.126807578635085,16.502656135158553,0.2421118917710939,0.1740084991527251,14,USABLE,"(0, np.int64(64), np.int64(35), np.int64(99))",0.4416188235083119,118.0,standard,-116.0,Sham,2.0,slice15_2Hz_inte3_0_15V,0.552617862456917,0.2014968090620239,0.3646223235821171,1.0,1.8090680674665816,1.8090680674665816,0.7213863201111239,0.2966165812445124,12,334.0,10.0,32.0,122.0001402602458,7888.0615234375,388.0,412.0,0.6470732728435595,0.40265235396328936,0.7941705931061035,0.717322601718532,1.0,12.0,0.15211669767217972,11.0,0.09920781653993421,11.0
.\11936610\slice15 4Hz inte3.0 15V.tif,Sham,15,4.0,0.332065552477546,6.0,0.8540389737842665,-2.418286897896025,14.238819302202256,0.2777764671645611,0.2409252352065266,3,LOW_SNR,"(np.int64(10), np.int64(74), np.int64(16), np.int64(80))",0.3669395104552166,6.0,standard,-4.0,Sham,4.0,slice15_4Hz_inte3_0_15V,0.5945052869276407,0.2309181449345209,0.3884206751598271,6.909090909090909,56.571113733874014,8.187924356218607,0.6256331707798658,0.9023323867839402,11,248.0,32.0,60.0,20.993331540295323,10885.3759765625,376.0,432.0,0.8182417363988924,0.5288512591858571,0.6001454079338449,0.7807834745506066,1.0,11.0,0.19663881232832162,10.0,0.31763315231760625,10.0
.\11936610\slice15 8Hz inte3.0 15V.tif,Sham,15,8.0,0.4294497604185646,86.0,0.7363805803595244,4.490317566785152,16.37154338011939,0.2246786884752581,0.1361396318715059,52,LOW_SNR,"(np.int64(3), np.int64(67), np.int64(17), np.int64(81))",0.4293055574016284,86.0,standard,-84.0,Sham,8.0,slice15_8Hz_inte3_0_15V,0.6570685654314884,0.2681759997900901,0.4081400540200586,1.391304347826087,12.878023072695187,9.256079083499666,0.935585173843912,0.8633623012641606,46,80.0,16.0,20.0,598.425175284826,7231.38427734375,82.0,102.0,0.5476973537968124,0.47021248935621457,0.6270181835165557,0.5690109123734103,0.8695652173913043,46.0,0.37575397171460123,45.0,0.37665786451758293,45.0
.\11931666\slice2 16Hz inte3.0 15V.tif,Sham,2,16.0,0.5210838664712146,42.0,0.7423302487909733,7.371119885338826,16.334906033032482,0.155595757608155,0.1564894808311216,12,EXTREME_LAG,"(np.int64(62), np.int64(126), np.int64(29), np.int64(93))",0.6908245146587055,42.0,standard,-1776.0,Sham,16.0,slice2_16Hz_inte3_0_15V,0.7208187750278024,0.2925653839161641,0.4058792501691977,0.0,7.332121111929344,,0.938846543329368,0.9849248184198894,51,40.0,8.0,12.0,369.419504659958,4561.82861328125,44.0,76.0,0.29654628588517673,0.5210253363599512,0.4102559660023994,0.3960438114247438,0.803921568627451,51.0,0.4140736411893112,50.0,0.37584172209707584,50.0
.\11931666\slice2 2Hz inte3.0 15V.tif,Sham,2,2.0,0.5361709142964576,70.0,0.627932641592764,7.292353414496899,16.333209901946553,0.3082053442332078,0.1498864931031269,4,USABLE,"(np.int64(60), np.int64(124), np.int64(30), np.int64(94))",0.6670490036080619,70.0,standard,-24.0,Sham,2.0,slice2_2Hz_inte3_0_15V,0.7023379297339034,0.3055653952292012,0.4350689067084439,-46.4,98.164487808304,2.115613961385862,0.9368295290680384,0.9556333869394537,10,154.0,24.0,30.0,77.50296169099506,9038.238525390623,324.0,490.0,0.4509711595553234,0.5872022580387145,0.6125190373382828,0.41591027791205487,1.0,10.0,0.4796684252374395,9.0,0.5217597868944364,9.0
.\11931666\slice2 4Hz inte3.0 15V.tif,Sham,2,4.0,0.1787453348166773,198.0,0.4529237421982525,5.3144181155134085,15.920092399847938,0.1037962521920502,0.0485225990283921,7,EXTREME_LAG,"(np.int64(62), np.int64(126), np.int64(28), np.int64(92))",0.502748891367961,198.0,standard,-3000.0,Sham,4.0,slice2_4Hz_inte3_0_15V,0.8388474965394491,0.2296645838636287,0.2737858607328252,-13.818181818181818,37.325107318849554,2.701159082285165,0.924579247525018,0.957650602039554,11,164.0,12.0,22.0,2417.910867219478,10662.9638671875,240.0,300.0,0.22933120141695948,0.35780258311824525,0.4482018279472274,0.3666043056357789,0.8181818181818182,11.0,0.26809173863847874,10.0,0.2755268087869456,10.0
.\11931666\slice2 8Hz inte3.0 15V.tif,Sham,2,8.0,0.5222835262504057,46.0,0.6338845041548951,4.987969787968668,15.879430375950063,0.2773471507861147,0.1462761896937182,25,LOW_SNR,"(np.int64(64), np.int64(128), np.int64(25), np.int64(89))",0.5649613945028198,46.0,standard,-84.0,Sham,8.0,slice2_8Hz_inte3_0_15V,0.7952633963301611,0.2784023914586948,0.3500757016397539,6.461538461538462,14.492013715783656,2.242811646490328,1.014744159240782,0.9908819041540954,26,68.0,8.0,8.0,1977269074.020934,7701.59912109375,110.0,150.0,0.5577607501864414,0.5136142218392825,0.30061595446821704,0.31426757512937015,0.8461538461538461,26.0,0.24789104917292076,25.0,0.2324133619727457,25.0
.\11931666\slice3 16Hz inte3.0 15V.tif,Sham,3,16.0,0.5776773370210894,174.0,0.9023950696799662,9.06263024746334,16.320611434267217,0.2027641913682499,0.1281586451718118,12,EXTREME_LAG,"(np.int64(27), np.int64(91), np.int64(36), np.int64(100))",0.6758701405460998,174.0,standard,-1464.0,Sham,16.0,slice3_16Hz_inte3_0_15V,0.924578511105449,0.1379943675280424,0.1492511083380609,0.3478260869565217,1.1524162620801215,3.31319675348035,1.069580078659192,0.9747610790827884,23,4.0,8.0,8.0,430946197.3707201,13128.5400390625,44.0,72.0,0.3142948987601894,0.6675521341663996,0.37727741297171746,0.49754311698530446,1.0,23.0,0.38841719300539623,22.0,0.34713773836389983,22.0
.\11931666\slice3 2Hz inte3.0 15V.tif,Sham,3,2.0,0.6744183431863559,46.0,1.8406594902701656,7.282691924770922,16.268645463734977,0.0884653090764976,0.0448731801256774,4,USABLE,"(np.int64(29), np.int64(93), np.int64(36), np.int64(100))",0.596515167800504,46.0,standard,0.0,Sham,2.0,slice3_2Hz_inte3_0_15V,0.9495186173325134,0.0348506801109535,0.0367035247911828,1.5,2.070196678027062,1.3801311186847085,0.9994688250404776,0.9880664682568088,8,350.0,24.0,24.0,3.457929683318543,25186.065673828125,440.0,512.0,0.4920562939874789,0.6306228668032118,0.46899708066985846,0.6345569218365982,1.0,8.0,0.46365433377688153,7.0,0.4053443547963912,7.0
.\11931666\slice3 4Hz inte3.0 15V.tif,Sham,3,4.0,0.3787070019767435,2.0,1.6904558463550197,6.40653343788704,15.993680335307188,0.1490897344363055,0.1146386415554258,6,USABLE,"(np.int64(27), np.int64(91), np.int64(35), np.int64(99))",0.3805213060753556,2.0,standard,0.0,Sham,4.0,slice3_4Hz_inte3_0_15V,0.8943183104636613,0.1407727031320874,0.1574078283817129,-0.6666666666666666,5.8878405775518985,8.831760866327848,0.8639495385298565,0.969624402816274,6,238.0,94.0,164.0,128.68871369680863,27838.134765625,298.0,444.0,0.1468079396336467,0.28774258541538283,0.24591977572554286,0.48799652699730184,1.0,6.0,0.31314174212023976,5.0,0.4416636238477497,5.0
.\11931666\slice3 8Hz inte3.0 15V.tif,Sham,3,8.0,0.5708269383939923,58.0,5.079885809318369,6.106602396550333,15.841413881510482,0.1322201701499898,0.0840692815917857,23,USABLE,"(np.int64(26), np.int64(90), np.int64(37), np.int64(101))",0.5116030831592868,58.0,standard,-84.0,Sham,8.0,slice3_8Hz_inte3_0_15V,0.9375504244803652,0.1261669254241643,0.1345708157447552,1.4736842105263157,1.982378511133408,1.3451854182690983,0.7447394170877684,0.981765990535446,19,80.0,6.0,8.0,2340392465.705535,17534.24072265625,64.0,80.0,0.4975286463014311,0.6088343468448618,0.4896583453211427,0.33287531106083934,1.0,19.0,0.07072891208003697,18.0,0.07842759542041092,18.0
.\11931666\slice4 16Hz inte3.0 15V.tif,Sham,4,16.0,0.499158378254639,42.0,0.4329768185055571,7.324158807146154,16.14802152483512,0.1706689176167948,0.1667946662953341,20,EXTREME_LAG,"(np.int64(21), np.int64(85), np.int64(14), np.int64(78))",0.3649271971597819,42.0,standard,-1960.0,Sham,16.0,slice4_16Hz_inte3_0_15V,0.8066960959520026,0.2669111248567876,0.3308694887655294,0.4848484848484848,5.455050481670701,11.25104161844582,0.970914184124148,0.9401290109939302,33,28.0,8.0,8.0,241349223.7630641,7174.01123046875,160.0,184.0,0.5569891337394179,0.8144767972287403,0.7997585893938994,0.766434544756809,1.0,33.0,0.122921270956802,32.0,0.14134088382159218,32.0
.\11931666\slice4 2Hz inte3.0 15V.tif,Sham,4,2.0,0.562491271859354,66.0,0.3506652327454534,7.589191359417148,16.322587601849197,0.2310970807204245,0.2263006371146723,9,USABLE,"(np.int64(25), np.int64(89), np.int64(12), np.int64(76))",0.6723694690347592,66.0,standard,0.0,Sham,2.0,slice4_2Hz_inte3_0_15V,0.7091867700608275,0.3456859432851757,0.4874399211586053,-6.909090909090909,26.957205142427306,3.901700744298689,1.1140662039766676,0.8360691819151815,11,260.0,52.0,52.0,3.695218193604018,9562.98828125,396.0,444.0,0.41795260408334106,0.7501691011891795,0.9157581171280256,0.9199619801828595,1.0,11.0,0.12578622806067727,10.0,0.10137154759421695,10.0
.\11931666\slice4 4Hz inte3.0 15V.tif,Sham,4,4.0,0.5373363103414458,46.0,0.3769213989419932,8.305832310678111,16.130225586605814,0.254662978345284,0.1450759526849094,17,EXTREME_LAG,"(np.int64(20), np.int64(84), np.int64(15), np.int64(79))",0.7666081405388867,46.0,standard,-2808.0,Sham,4.0,slice4_4Hz_inte3_0_15V,0.7837712793729156,0.2987444307676802,0.3811627685652138,7.047619047619048,47.00476166355509,6.669594560369304,1.07367258319299,0.954973118006371,21,184.0,60.0,64.0,24.471739259896797,11054.50439453125,212.0,240.0,0.5907155752444677,0.6962584629246185,0.7402323536802351,0.9169770558373143,1.0,21.0,0.2566069385606919,20.0,0.1957846991410341,20.0
